fuente,titulo,descripcion,url,veracidad
colombiaCheck,Busto del expresidente Nieto en alocución de Petro fue reemplazado por el de Stalin con IA,"Distintas desinformaciones señalan falsamente la estatua como si fuera del dictador soviético, unas con la imagen original y otras con inteligencia artificial.",https://colombiacheck.com/chequeos/busto-del-expresidente-nieto-en-alocucion-de-petro-fue-reemplazado-por-el-de-stalin-con-ia,0
colombiaCheck,Video de pesqueros chinos circula como si fuera la Flotilla Global Sumud rumbo a Gaza,El metraje realmente corresponde a embarcaciones zarpando tras el fin de una veda de pesca y no a la iniciativa humanitaria contra el bloqueo israelí.,https://colombiacheck.com/chequeos/video-de-pesqueros-chinos-circula-como-si-fuera-la-flotilla-global-sumud-rumbo-gaza,0
colombiaCheck,"Sanciones de la JEP a exjefes de las FARC por secuestro sí deben reparar y ser mínimo 5 años, no 2",Una cuenta desinformadora de derecha adelanta datos falsos sobre la primera sentencia de la justicia transicional contra el último secretariado de la exguerrilla.,https://colombiacheck.com/chequeos/sanciones-de-la-jep-exjefes-de-las-farc-por-secuestro-si-deben-reparar-y-ser-minimo-5-anos,0
colombiaCheck,Narrativa reeleccionista se impulsa con el montaje de una portada y una encuesta atribuidas a Semana,"Se trata de una suplantación que no ha sido publicada por la revista, sumándose al patrón recurrente de desinformación de una página petrista.",https://colombiacheck.com/chequeos/narrativa-reeleccionista-se-impulsa-con-el-montaje-de-una-portada-y-una-encuesta,0
colombiaCheck,Presuntas «confesiones» de El Pollo Carvajal provienen de una entrevista que nunca sucedió,Un video viral atribuye a Hugo “El Pollo” Carvajal falsas confesiones sobre el Cartel de los Soles y políticos venezolanos,https://colombiacheck.com/chequeos/presuntas-confesiones-de-el-pollo-carvajal-provienen-de-una-entrevista-que-nunca-sucedio,0
colombiaCheck,"Petro acierta sobre desempleo más bajo del siglo para los meses de abril, mayo y julio","El presidente y cuentas afines resaltaron este logro con una gráfica de tasa de desocupación a mayo, aunque personas expertas cuestionan la persistencia de la informalidad.",https://colombiacheck.com/chequeos/petro-acierta-sobre-desempleo-mas-bajo-del-siglo-para-los-meses-de-abril-mayo-y-julio,0
colombiaCheck,Este video de apoyo de Rodrigo Londoño a Iván Cepeda es viejo y no tiene contexto electoral,"El presidente del partido Comunes “saludó” en X la precandidatura presidencial del senador del Polo, pero esta grabación es de 2021 y se refiere a otro tema.",https://colombiacheck.com/chequeos/este-video-de-apoyo-de-rodrigo-londono-ivan-cepeda-es-viejo-y-no-tiene-contexto-electoral,0
colombiaCheck,Declaraciones de Bukele que instan a venezolanos a ser “agresivos” para “botar al régimen” son viejas,Como de “última hora” presentan la respuesta que el presidente salvadoreño dio durante una entrevista a NTN24 hace seis años.,https://colombiacheck.com/chequeos/declaraciones-de-bukele-que-instan-venezolanos-ser-agresivos-para-botar-al-regimen-son,0
colombiaCheck,'Fact-check' a la entrevista de Correa a Maduro,"El 8 de septiembre, Rafael Correa entrevistó a Nicolás Maduro en Russia Today. En esa conversación, Maduro negó la presencia del narcotráfico en Venezuela, habló de bases militares de EE. UU. en...",https://colombiacheck.com/chequeos/fact-check-la-entrevista-de-correa-maduro,0
colombiaCheck,Iván Cepeda no ha elegido a Sandra Ramírez como su fórmula vicepresidencial,"No hay evidencias que confirmen esta afirmación. El mismo Cepeda lo desmintió asegurando que Ramírez ni siquiera es del Pacto Histórico, la coalición por la que aspira a ser candidato presidencial.",https://colombiacheck.com/chequeos/ivan-cepeda-no-ha-elegido-sandra-ramirez-como-su-formula-vicepresidencial,0
colombiaCheck,Petro miente sobre su tributaria: no le sube impuestos solo a quienes ganen más de 142 millones,Las nuevas tasas afectarían a quienes ganen en promedio más de 10 millones mensuales. MinHacienda también desmintió al mandatario.,https://colombiacheck.com/chequeos/petro-miente-sobre-su-tributaria-no-le-sube-impuestos-solo-quienes-ganen-mas-de-142,0
colombiaCheck,"IVA del 5% seguiría en los mismos alimentos con o sin la tributaria, no sería nada nuevo","Café, harina, avena, trigo, chocolate, aceites y azúcar, entre otros, ya tienen ese gravamen. Cuentas desinformadoras lo hacen ver como propuesta del nuevo proyecto de reforma del gobierno Petro.",https://colombiacheck.com/chequeos/iva-del-5-seguiria-en-los-mismos-alimentos-con-o-sin-la-tributaria-no-seria-nada-nuevo,0
colombiaCheck,Montaje con IA simula a Bukele pidiendo capturar a Petro y Maduro por cometer “los mismos crímenes”,El presidente de El Salvador no ha hecho tales declaraciones. Otra alocución suya fue manipulada con inteligencia artificial para falsearlas.,https://colombiacheck.com/chequeos/montaje-con-ia-simula-bukele-pidiendo-capturar-petro-y-maduro-por-cometer-los-mismos,0
colombiaCheck,Creador de contenido mezcla impuestos ficticios de la reforma tributaria con otros verdaderos,"El proyecto de ley no contempla gravar las cuotas de administración de conjuntos ni a todos los vehículos; aunque sí fijar IVA para la gasolina, ACPM y compras online.",https://colombiacheck.com/chequeos/creador-de-contenido-mezcla-impuestos-ficticios-de-la-reforma-tributaria-con-otros,0
colombiaCheck,Letrero de “Fuera Petro” durante partido Colombia vs Bolivia en Barranquilla es un montaje,"En la transmisión en vivo del partido no aparece el letrero, que fue agregado digitalmente.",https://colombiacheck.com/chequeos/letrero-de-fuera-petro-durante-partido-colombia-vs-bolivia-en-barranquilla-es-un-montaje,0
colombiaCheck,Sátira suplanta a El Tiempo con montaje sobre servicio militar en Venezuela para novios colombianos,"Sí, era chiste. El supuesto decreto de Maduro no existe, pero ‘se metió’ en Olímpica Stereo y en redes como si fuera una noticia real.",https://colombiacheck.com/chequeos/satira-suplanta-el-tiempo-con-montaje-sobre-servicio-militar-en-venezuela-para-novios,0
colombiaCheck,Mensajes contra nueva tributaria mezclan impuestos ficticios y otros ya vigentes con aumentos reales,"La reforma radicada no contempla gravar las administraciones de conjuntos, la venta de un apartamento o impuestos de renta a salarios de hasta cinco millones.",https://colombiacheck.com/chequeos/mensajes-contra-nueva-tributaria-mezclan-impuestos-ficticios-y-otros-ya-vigentes-con,0
colombiaCheck,Audios atribuyen falsamente a autoridades de Cali supuestas alertas de bomba en sitios públicos,"La Gobernación del Valle, la Alcaldía y la Terminal de Transporte de la ciudad desmintieron estas notas de voz anónimas que circulan por WhatsApp.",https://colombiacheck.com/chequeos/audios-atribuyen-falsamente-autoridades-de-cali-supuestas-alertas-de-bomba-en-sitios,0
colombiaCheck,Juicios al duelo de Claudia Tarazona y sus hijas por Miguel Uribe sacan de contexto fotos viejas,Las imágenes de un viaje familiar de 2023 son utilizadas como si fueran posteriores al asesinato del exsenador con el fin de atacar a su familia.,https://colombiacheck.com/chequeos/juicios-al-duelo-de-claudia-tarazona-y-sus-hijas-por-miguel-uribe-sacan-de-contexto-fotos,0
colombiaCheck,Ataques machistas a Claudia Tarazona la revictimizan con mentiras sobre la herencia de Uribe Turbay,La desinformación da falsos valores de la pensión de sobreviviente y de una supuesta mansión sin bases en la historia laboral o los bienes del asesinado opositor.,https://colombiacheck.com/chequeos/ataques-machistas-claudia-tarazona-la-revictimizan-con-mentiras-sobre-la-herencia-de-uribe,0
colombiaCheck,"Mentira sobre empleo del esposo de Agudelo, arma contra Balanta en guerra sucia por C. Constitucional",El documento utilizado para decir que el gobierno Petro “acaba de entregarle” un contrato a la pareja de la congresista para que vote por esa candidata corresponde a un vínculo que acabó en 2024.,https://colombiacheck.com/chequeos/mentira-sobre-empleo-del-esposo-de-agudelo-arma-contra-balanta-en-guerra-sucia-por-c,0
colombiaCheck,Una IA habría creado este montaje de Álvaro Uribe Vélez en la tumba de Miguel Uribe Turbay,La lápida tiene errores en el nombre y la fecha que delatan la falsedad. La imagen circuló antes de la verdadera visita del expresidente a la sepultura del exsenador asesinado.,https://colombiacheck.com/chequeos/una-ia-habria-creado-este-montaje-de-alvaro-uribe-velez-en-la-tumba-de-miguel-uribe-turbay,0
colombiaCheck,Montaje de video que muestra una captura ficticia de Maduro habría sido creado con IA,El gobernante de Venezuela sigue libre. La grabación manipulada presenta altas probabilidades e indicios del uso de inteligencia artificial para su producción.,https://colombiacheck.com/chequeos/montaje-de-video-que-muestra-una-captura-ficticia-de-maduro-habria-sido-creado-con-ia,0
colombiaCheck,Video de Uribe abucheado en Uniagustiniana es viejo y no después de salir de su casa por cárcel,"Ocurrió en abril de 2024. La desinformación, movida por cuentas petristas, se suma a otras tergiversaciones similares contra el expresidente.",https://colombiacheck.com/chequeos/video-de-uribe-abucheado-en-uniagustiniana-es-viejo-y-no-despues-de-salir-de-su-casa-por,0
colombiaCheck,Pelea ficticia entre Petro y Jorge Alfredo Vargas fue creada con IA,Ni siquiera existe el supuesto programa de televisión ‘Vive Bogotá’ del que se dice que el presidente fue expulsado.,https://colombiacheck.com/chequeos/pelea-ficticia-entre-petro-y-jorge-alfredo-vargas-fue-creada-con-ia,0
colombiaCheck,"Imagen de Maduro arrestado, creada con IA, circula en medio de tensiones entre Venezuela y EE. UU.","Dedos fusionados y la marca de agua de Grok, la inteligencia artificial de X, son algunos de los detalles que demuestran la falsedad de la supuesta foto.",https://colombiacheck.com/chequeos/imagen-de-maduro-arrestado-creada-con-ia-circula-en-medio-de-tensiones-entre-venezuela-y,0
colombiaCheck,Montajes de imputado por bomba en Cali con camisetas de Petro y Francia Márquez habrían usado IA,Las imágenes manipuladas circulan con mensajes en redes que vinculan a alias ‘Sebastián’ con el gobierno actual y las ‘primeras líneas’ de las protestas contra el de Iván Duque.,https://colombiacheck.com/chequeos/montajes-de-imputado-por-bomba-en-cali-con-camisetas-de-petro-y-francia-marquez-habrian,0
colombiaCheck,Video viejo circula como si fuera un sobrevuelo estadounidense en Venezuela en agosto de 2025,La desinformación alienta la idea de que el reciente despliegue de activos militares norteamericanos en el Caribe sería preámbulo de una invasión.,https://colombiacheck.com/chequeos/video-viejo-circula-como-si-fuera-un-sobrevuelo-estadounidense-en-venezuela-en-agosto-de,0
colombiaCheck,"Quienes piden declarar incapacidad mental de Petro son políticos, no la Asociación de Psiquiatría","El video que se ha difundido como una solicitud de la agremiación médica al Senado no tiene nada que ver con ella, sino con grupos de derecha en campaña con esta narrativa basada en rumores.",https://colombiacheck.com/chequeos/quienes-piden-declarar-incapacidad-mental-de-petro-son-politicos-no-la-asociacion-de,0
colombiaCheck,Supuestos medios no prueban cita judicial de EE. UU. a Cepeda sobre narcotráfico y falsean su reacción,"No hay registro de tal aviso ni de la respuesta atribuida al aspirante presidencial, quien recién pidió una consulta oficial para saber si existen casos en su contra en ese país.",https://colombiacheck.com/chequeos/supuestos-medios-no-prueban-cita-judicial-de-ee-uu-cepeda-sobre-narcotrafico-y-falsean-su,0
colombiaCheck,Video viejo de accidente de avioneta circula como si fuera de atentado del 21 de agosto en Cali,Las imágenes de una aeronave blanca envuelta en llamas no son del reciente acto terrorista con camión bomba en la capital del Valle del Cauca.,https://colombiacheck.com/chequeos/video-viejo-de-accidente-de-avioneta-circula-como-si-fuera-de-atentado-del-21-de-agosto-en,0
colombiaCheck,Veto a Jota Pe Hernández falsamente atribuido al Centro Democrático alude a consulta inexistente,"El senador de Alianza Verde no podría participar en una elección interna de ese otro partido, que tampoco planea escoger su candidatura presidencial en las urnas.",https://colombiacheck.com/chequeos/veto-jota-pe-hernandez-falsamente-atribuido-al-centro-democratico-alude-consulta,0
colombiaCheck,Noticia vieja sobre anuncio de Trump contra Colombia por no recibir deportados circula como reciente,"Aunque las publicaciones dicen que es de “última hora”, ocurrió en enero de 2025, en la crisis diplomática por el envío de migrantes en vuelos militares.",https://colombiacheck.com/chequeos/noticia-vieja-sobre-anuncio-de-trump-contra-colombia-por-no-recibir-deportados-circula,0
colombiaCheck,"Con foto vieja sin contexto de Petro en la ONU, dicen que otros presidentes se fueron para no oírlo","La imagen es del discurso del mandatario en la Asamblea General de 2023. Antes de su intervención, habían dado un receso y por eso había sillas vacías.",https://colombiacheck.com/chequeos/con-foto-vieja-sin-contexto-de-petro-en-la-onu-dicen-que-otros-presidentes-se-fueron-para,0
colombiaCheck,Montaje con IA simula a la presidenta de México pidiendo la extradición de Álvaro Uribe,Sheinbaum no ha hecho la declaración en la que supuestamente se refirió al exmandatario como delincuente. En el video se detectó uso de inteligencia artificial.,https://colombiacheck.com/chequeos/montaje-con-ia-simula-la-presidenta-de-mexico-pidiendo-la-extradicion-de-alvaro-uribe,0
colombiaCheck,Imitación a BBC sigue libreto de Petro y ELN sobre asesinato de Uribe Turbay para atacar a su papá,La desinformación suplanta al medio para mover el señalamiento sin pruebas de que el crimen fue un ‘ajuste de cuentas’ entre mafias de esmeralderos.,https://colombiacheck.com/chequeos/imitacion-bbc-sigue-libreto-de-petro-y-eln-sobre-asesinato-de-uribe-turbay-para-atacar-su,0
colombiaCheck,Video satírico sobre tren de Buenaventura atribuido a Petro fue grabado en Estados Unidos,"El propio presidente y sus seguidores ya han caído en presentar como logros otras grabaciones del mismo usuario, que las hace como burla al gobierno desde Norteamérica.",https://colombiacheck.com/chequeos/video-satirico-sobre-tren-de-buenaventura-atribuido-petro-fue-grabado-en-estados-unidos,0
colombiaCheck,Juicio contra Nicolás Petro aún ni empieza y en redes ya dicen que se suspendió por ‘orden’ suya,"La defensa del exdiputado le solicitó suspender la audiencia preparatoria, pero el juez reprochó el recurso y reanudó la diligencia un día después.",https://colombiacheck.com/chequeos/juicio-contra-nicolas-petro-aun-ni-empieza-y-en-redes-ya-dicen-que-se-suspendio-por-orden,0
